institution;indicator;taux observé 2018-2022;taux attendu 2018-2022;SMR 2018-2022;nombre de cas 2018-2022;taux observé 2023;taux attendu 2023;SMR 2023;nombre de cas 2023
Les Hôpitaux Universitaires de Genève HUG;C.1 Rééducation gériatrique précoce; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;C.1.1.F Rééducation gériatrique précoce;*;*;*;593;*;*;*;80
Les Hôpitaux Universitaires de Genève HUG;C.1.2.P Rééducation gériatrique précoce avec index de Barthel, pourcentage;0.0%;78.8%;*;0;0.0%;78.2%;*;0
Les Hôpitaux Universitaires de Genève HUG;C.1.3.S Valeur moyenne de l’index de Barthel moteur à l’admission;*;*;*;0;*;*;*;0
Les Hôpitaux Universitaires de Genève HUG;C.1.7.P Rééducation gériatrique précoce avec index de Barthel étendu, pourcentage;0.0%;3.0%;*;0;0.0%;4.5%;*;0
Les Hôpitaux Universitaires de Genève HUG;C.1.4.P Rééducation gériatrique précoce avec FIM moteur, pourcentage;91.9%;13.6%;*;545;87.5%;13.6%;*;70
Les Hôpitaux Universitaires de Genève HUG;C.1.5.S Valeur moyenne du FIM moteur à l'admission;48.1;*;*;545;51.8;*;*;70
Les Hôpitaux Universitaires de Genève HUG;C.1.8.P Rééducation gériatrique précoce avec FIM cognitif, pourcentage;89.9%;12.5%;*;533;88.8%;11.9%;*;71
Les Hôpitaux Universitaires de Genève HUG;C.1.9.P Rééducation gériatrique précoce avec MMSE, pourcentage;7.4%;73.7%;*;44;*;*;*;7
Les Hôpitaux Universitaires de Genève HUG;C.1.6.P Patients opérés avec DS délirium, âge >59, pourcentage;2.7%;2.4%;*;870;3.1%;2.4%;*;239
Les Hôpitaux Universitaires de Genève HUG;C.2 Malnutrition des personnes âgées; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;C.2.1.P Cas avec malnutrition grave/cachexie sans tumeur, âge >64, pourcentage;4.9%;2.6%;*;4'801;6.9%;3.0%;*;1'425
Les Hôpitaux Universitaires de Genève HUG;C.2.2.P Cas avec traitement nutritionnel entérale/parentérale en cas de malnutrition grave/cachexie sans tumeur, âge >64, pourcentage;19.3%;22.3%;*;927;19.1%;19.0%;*;272
Les Hôpitaux Universitaires de Genève HUG;D Maladies pulmonaires; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;D.1 Pneumonie; ; ; ; ; ; ; ; 
Les Hôpitaux Universitaires de Genève HUG;D.1.1.M DP pneumonie, mortalité;8.4%;8.2%;1.0;9'699;5.2%;5.7%;0.9;1'750
Les Hôpitaux Universitaires de Genève HUG;D.1.2.M DP pneumonie, âge <20, mortalité;0.7%;0.4%;1.8;461;0.6%;0.2%;3.6;164
Les Hôpitaux Universitaires de Genève HUG;D.1.3.M DP pneumonie, âge 20-44, mortalité;0.5%;0.6%;0.7;632;1.6%;1.0%;1.6;124
Les Hôpitaux Universitaires de Genève HUG;D.1.4.M DP pneumonie, âge 45-64, mortalité;2.1%;2.4%;0.9;1'791;1.9%;1.8%;1.1;260
Les Hôpitaux Universitaires de Genève HUG;D.1.5.M DP pneumonie, âge 65-84, mortalité;8.2%;8.3%;1.0;4'053;4.5%;5.7%;0.8;716
Les Hôpitaux Universitaires de Genève HUG;D.1.6.M DP pneumonie, âge >84, mortalité;15.8%;15.0%;1.1;2'762;10.5%;10.9%;1.0;486
