institution;indicator;taux observé 2018-2022;taux attendu 2018-2022;SMR 2018-2022;nombre de cas 2018-2022;taux observé 2023;taux attendu 2023;SMR 2023;nombre de cas 2023
Merian Iselin Klinik AG;H.3.2.F TUR der Blase insgesamt;*;*;*;694;*;*;*;147
Merian Iselin Klinik AG;H.3.3.F TUR der Blase bei Malignom;*;*;*;486;*;*;*;118
Merian Iselin Klinik AG;H.3.4.P Anteil Malignom­TUR mit Instillation von Chemotherapeutika in die Harnblase;12.6%;16.5%;*;61;26.3%;16.9%;*;31
Merian Iselin Klinik AG;H.3.5.M Entfernung der Harnblase (Zystektomie), Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;H.3.6.M Eviszeration des Beckens bei Mann oder Frau, Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;H.4 Entfernung der Prostata durch Abtragung über die Harnröhre (Prostata­TUR); ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;H.4.2.P Anteil Prostata­TUR mit Komplikationen;*;*;*;6;0.0%;1.8%;*;0
Merian Iselin Klinik AG;H.4.3.M Prostata­TUR bei gutartigen Erkrankungen, Mortalität;0.0%;0.1%;0.0;854;0.0%;0.0%;0.0;205
Merian Iselin Klinik AG;H.4.4.M Prostata­TUR bei bösartigen Neubildungen, Mortalität;0.0%;0.4%;0.0;255;0.0%;0.1%;0.0;42
Merian Iselin Klinik AG;H.5 Prostatakarzinom; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;H.5.1.F HD Prostatakarzinom;*;*;*;947;*;*;*;159
Merian Iselin Klinik AG;H.5.2.M Radikale Prostatovesikulektomie, Mortalität;0.0%;0.1%;0.0;412;0.0%;0.1%;0.0;73
Merian Iselin Klinik AG;I Erkrankungen von Knochen, Gelenken und Bindegewebe; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;I.1 Gelenkersatz, Endoprothese; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;I.1.8.M Hüft­Endoprothesen­Erstimplantation bei Koxarthrose und chronischer Arthritis, Mortalität;0.0%;0.0%;0.0;3'415;0.0%;0.0%;0.0;702
Merian Iselin Klinik AG;I.1.9.M Hüft­Endoprothesen­Erstimplantation bei Schenkelhals­ und pertrochantärer Fraktur, Mortalität;0.7%;2.9%;0.2;151;0.0%;2.0%;0.0;24
Merian Iselin Klinik AG;I.1.10.M Hüft­Endoprothesen­Erstimplantation bei anderen Diagnosen (nicht in I.1.8.F, I.1.9.F), Mortalität;0.0%;1.9%;0.0;110;0.0%;1.1%;0.0;20
Merian Iselin Klinik AG;I.1.11.P Anteil Hüft­Endoprothesen­Erstimplantation bei Koxarthrose und chronischer Arthritis mit Komplikationen;0.9%;1.4%;*;30;*;*;*;2
Merian Iselin Klinik AG;I.1.12.M Hüft­Endoprothesen­Wechsel, ohne Frakturen oder Infektionen bei Aufnahme/als HD, Mortalität;0.0%;0.5%;0.0;233;0.0%;0.2%;0.0;38
Merian Iselin Klinik AG;I.1.13.M Hüft­Endoprothesen­Wechsel, ohne Frakturen oder Infektionen, Sonderprothese, Mortalität;*;*;*;4;*;*;*;0
Merian Iselin Klinik AG;I.1.14.M Hüft­Endoprothesen­Wechsel wegen Frakturen oder Infektionen, Mortalität;0.0%;2.0%;0.0;35;*;*;*;4
Merian Iselin Klinik AG;I.1.15.M Knie­Endoprothesen­Erstimplantation bei Gonarthrose und chronischer Arthritis, Mortalität;0.0%;0.0%;0.0;4'006;0.0%;0.0%;0.0;846
Merian Iselin Klinik AG;I.1.16.M Knie­Endoprothesen­Erstimplantation bei anderen Diagnosen (nicht in I.1.15.F), Mortalität;0.0%;0.0%;0.0;361;0.0%;0.3%;0.0;80
Merian Iselin Klinik AG;I.1.17.P Anteil Knie­Endoprothesen­Erstimplantation bei Gonarthrose und chronischer Arthritis mit Komplikationen;1.2%;1.3%;*;48;*;*;*;3
Merian Iselin Klinik AG;I.1.18.M Knie­Endoprothesen­Wechsel, ohne Frakturen oder Infektionen bei Aufnahme/als HD, Mortalität;0.0%;0.1%;0.0;314;0.0%;0.1%;0.0;56
Merian Iselin Klinik AG;I.1.19.M Knie­Endoprothesen­Wechsel, ohne Frakturen oder Infektionen, Sonderprothese, Mortalität;*;*;*;2;*;*;*;0
Merian Iselin Klinik AG;I.1.20.M Knie­Endoprothesen­Wechsel wegen Frakturen oder Infektionen, Mortalität;0.0%;1.2%;0.0;24;*;*;*;5
Merian Iselin Klinik AG;I.1.21.M Hüft­ oder Knie­Endoprothesen­Eingriffe bei Tumor, Mortalität;0.0%;3.2%;0.0;81;0.0%;2.9%;0.0;18
Merian Iselin Klinik AG;I.1.22.M Hüft­ und Knie­Endoprothesen­Eingriffe kombiniert, Mortalität;*;*;*;3;*;*;*;0
Merian Iselin Klinik AG;I.2 Behandlungen/Operationen an der Wirbelsäule und am Rückenmark; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;I.2.3.F OP an der Wirbelsäule und am Rückenmark, ohne isolierte lokale Schmerztherapie;*;*;*;3;*;*;*;0
Merian Iselin Klinik AG;I.2.4.F OP am Rückenmark/Spinalkanal, ohne isolierte lokale Schmerztherapie;*;*;*;1;*;*;*;0
Merian Iselin Klinik AG;I.2.5.M Versteifung der Wirbelsäule oder Wirbelkörperersatz bei Tumor (inkl. komplexe Rekonstitutionen), Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;I.2.19.M Versteifung der Wirbelsäule oder Wirbelkörperersatz bei Trauma (inkl. komplexe Rekonstitutionen), Mortalität;*;*;*;1;*;*;*;0
Merian Iselin Klinik AG;I.2.18.M OP an der Wirbelsäule bei Diszitis oder Osteomyelitis der Wirbelsäule, Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;I.2.7.M Komplexe Rekonstruktionen der Wirbelsäule (ohne Tumor, Trauma), Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;I.2.8.M Versteifung der Wirbelsäule oder Wirbelkörperersatz, 1 Wirbelkörper (ohne Tumor, Trauma, komplexe Rekonstitutionen), Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;I.2.9.M Versteifung der Wirbelsäule oder Wirbelkörperersatz, 2 Wirbelkörper (ohne Tumor, Trauma, komplexe Rekonstitutionen), Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;I.2.10.M Versteifung der Wirbelsäule oder Wirbelkörperersatz, ab 3 Wirbelkörpern (ohne Tumor, Trauma, komplexe Rekonstitutionen), Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;I.2.20.M Dekompression der Wirbelsäule, Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;I.2.21.M Exzision von Bandscheibengewebe (ohne Tumor, Trauma, Dekompression, komplexe OP an Wirbelsäule), Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;I.2.13.M Vertebroplastik/Kyphoplastik (ohne Tumor, komplexe Rekonstitutionen, Versteifung, Wirbelkörperersatz, Eingriffe an Bandscheiben), Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;I.2.14.M Andere OP an der Wirbelsäule oder am Rückenmark, Mortalität;*;*;*;2;*;*;*;0
Merian Iselin Klinik AG;I.2.15.P Anteil Exzision von Bandscheibengewebe mit Komplikationen (ohne Tumor, Trauma, komplexe OP an Wirbelsäule);*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;I.2.16.F Lokale Schmerztherapie an der Wirbelsäule, ohne OP an der Wirbelsäule;*;*;*;12;*;*;*;1
Merian Iselin Klinik AG;I.2.17.F Stationäre Behandlungen bei HD Erkrankung der Wirbelsäule, ohne OP oder lokale Schmerztherapie an der Wirbelsäule;*;*;*;113;*;*;*;9
Merian Iselin Klinik AG;I.3 Hüftgelenknahe Frakturen; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;I.3.9.M Schenkelhalsfraktur (Alter >19) mit operativer Versorgung, Mortalität;0.6%;2.6%;0.2;159;0.0%;1.6%;0.0;28
Merian Iselin Klinik AG;I.3.10.M Schenkelhalsfraktur (Alter >19) mit endoprothetischer Versorgung, Mortalität;0.7%;2.9%;0.2;142;0.0%;1.9%;0.0;24
Merian Iselin Klinik AG;I.3.11.M Schenkelhalsfraktur (Alter >19) mit osteosynthetischer Versorgung, Mortalität;0.0%;0.6%;0.0;17;*;*;*;4
Merian Iselin Klinik AG;I.3.12.P Anteil Schenkelhalsfraktur (Alter >19) mit OP am Aufnahme- oder Folgetag;68.6%;56.0%;*;109;78.6%;63.8%;*;22
Merian Iselin Klinik AG;I.3.13.P Anteil Schenkelhalsfraktur (Alter >19) mit Frührehabilitation;0.0%;9.8%;*;0;0.0%;13.5%;*;0
Merian Iselin Klinik AG;I.3.14.M Pertrochantäre Fraktur (Alter >19) mit operativer Versorgung, Mortalität;0.9%;3.3%;0.3;109;0.0%;2.4%;0.0;26
Merian Iselin Klinik AG;I.3.15.M Pertrochantäre Fraktur (Alter >19) mit endoprothetischer Versorgung, Mortalität;*;*;*;9;*;*;*;0
Merian Iselin Klinik AG;I.3.16.M Pertrochantäre Fraktur (Alter >19) mit osteosynthetischer Versorgung, Mortalität;1.0%;3.3%;0.3;100;0.0%;2.4%;0.0;26
Merian Iselin Klinik AG;I.3.17.P Anteil pertrochantäre Fraktur (Alter >19) mit OP am Aufnahme- oder Folgetag;73.4%;64.6%;*;80;92.3%;76.0%;*;24
Merian Iselin Klinik AG;I.3.18.P Anteil pertrochantäre Fraktur (Alter >19) mit Frührehabilitation;0.0%;12.0%;*;0;0.0%;16.4%;*;0
Merian Iselin Klinik AG;I.3.19.M Konservative Versorgung bei pertrochantärer oder Schenkelhalsfraktur (Alter >19), Direktaufnahmen, Mortalität;0.0%;3.2%;0.0;55;0.0%;2.3%;0.0;12
Merian Iselin Klinik AG;I.3.20.M Konservative Versorgung bei pertrochantärer oder Schenkelhalsfraktur (Alter >19), Zuverlegungen, Mortalität;*;*;*;2;*;*;*;0
Merian Iselin Klinik AG;I.3.21.M Versorgung bei hüftgelenknaher Fraktur bei Tumor, Hüftfraktur oder Sonderprothese (Alter >19), Mortalität;0.0%;3.0%;0.0;27;0.0%;3.1%;0.0;14
Merian Iselin Klinik AG;I.3.22.F Versorgung bei hüftgelenknaher Fraktur gemäss G-BA Richtlinie (Alter >17);*;*;*;379;*;*;*;81
Merian Iselin Klinik AG;I.4 Bösartige Neubildungen von Knochen, Gelenken und Bindegewebe; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;I.4.1.F HD bösartige Neubildungen von Knochen, Gelenkknorpel, peripheren Nerven, Retroperitoneum, Bindegewebe, Weichteilen;*;*;*;4;*;*;*;0
Merian Iselin Klinik AG;I.5 Endoprothese am Schulter-/Ellenbogengelenk; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;I.5.1.F Endoprothese am Schulter-/Ellenbogengelenk;*;*;*;603;*;*;*;139
Merian Iselin Klinik AG;I.6 Polytraumen; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;I.6.1.F Polytrauma im Sinne der DRG-Definition;*;*;*;2;*;*;*;0
Merian Iselin Klinik AG;J Komplexe, heterogene Krankheitsbilder (Tracer für Peer Review); ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;J.1 Beatmung und extrakorporale Verfahren; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;J.1.1.M Beatmungsfälle >24 h (ohne Neugeborene), Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;J.1.4.M Beatmungsfälle >24 h (ohne Neugeborene), Direktaufnahmen, Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;J.1.5.M Beatmungsfälle >24 h mit OP (ohne Neugeborene), Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;J.1.6.M Beatmungsfälle >24 h ohne OP (ohne Neugeborene), Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;J.1.2.S Mittlere Beatmungsdauer bei Beatmungsfällen >24 h (ohne Neugeborene);*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;J.1.3.P Anteil Beatmungsdauer oberhalb DRG Stufen (ohne Neugeborene);*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;J.1.7.F ECMO-Lungenunterstützung;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;J.1.8.F ECLS/ECMO-Herz-/Herz-Lungenunterstützung;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;J.1.9.M Beatmungsfälle >24 h (ohne Neugeborene, ohne COVID-19), Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;J.2 Sepsis; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;J.2.1.M HD Sepsis, Mortalität;*;*;*;6;*;*;*;0
Merian Iselin Klinik AG;J.2.2.M HD Sepsis mit Organkomplikationen/Schock, Mortalität;*;*;*;3;*;*;*;0
Merian Iselin Klinik AG;J.2.3.M HD Sepsis ohne Organkomplikationen/Schock, Mortalität;*;*;*;3;*;*;*;0
Merian Iselin Klinik AG;J.2.4.M ND Sepsis, Mortalität;0.0%;22.6%;0.0;20;*;*;*;0
Merian Iselin Klinik AG;J.2.5.M ND Sepsis mit Organkomplikationen/Schock, Mortalität;*;*;*;2;*;*;*;0
Merian Iselin Klinik AG;J.2.6.M SIRS ohne Organkomplikationen, Mortalität;*;*;*;4;*;*;*;0
Merian Iselin Klinik AG;J.3 Komplexe Konstellationen; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;J.3.1.P Anteil akutes Nierenversagen bei Eingriffen mit erhöhtem Kontrastmittelbedarf;0.0%;8.8%;*;0;0.0%;10.2%;*;0
Merian Iselin Klinik AG;J.3.2.F Patienten mit angeborenen Gerinnungsstörungen;*;*;*;39;*;*;*;13
Merian Iselin Klinik AG;J.3.3.F Operierte Patienten mit angeborenen Gerinnungsstörungen;*;*;*;38;*;*;*;13
Merian Iselin Klinik AG;J.3.4.P Anteil Transfusionen gesamt;2.3%;6.9%;*;490;1.3%;4.1%;*;98
Merian Iselin Klinik AG;J.3.5.P Anteil Transfusionen mit >4 EK oder TK und IPS (ohne Organtransplantation);0.0%;6.4%;*;0;0.0%;6.2%;*;0
Merian Iselin Klinik AG;J.3.6.M Transfusionen mit >4 EK oder TK und IPS (ohne Organtransplantation), konservativ versorgt, Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;J.3.7.M Transfusionen mit >4 EK oder TK und IPS (ohne Organtransplantation), operativ versorgt, Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;J.3.8.M ND Lungenembolie bei Behandlungsfällen mit OP, Mortalität;*;*;*;2;*;*;*;1
Merian Iselin Klinik AG;J.3.8.P Anteil ND Lungenembolie bei Behandlungsfällen mit OP;*;*;*;2;*;*;*;1
Merian Iselin Klinik AG;K Hautkrankheiten; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;K.1 Hautkrankheiten; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;K.1.1.F Stationäre Behandlungen wegen HD Melanom;*;*;*;7;*;*;*;1
Merian Iselin Klinik AG;K.1.2.F Stationäre Behandlungen wegen HD Dermatitis und Ekzem;*;*;*;2;*;*;*;4
Merian Iselin Klinik AG;K.1.3.F Stationäre Behandlungen wegen HD Psoriasis;*;*;*;3;*;*;*;0
Merian Iselin Klinik AG;L Hochspezialisierte Medizin; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;L.1 Herztransplantationen; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;L.1.1.F Herz­ und Herz­Lungen­Transplantation insgesamt;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.1.2.F Herz­Lungen­Transplantation;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.1.3.F Herztransplantation;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.2 Lungentransplantationen; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;L.2.1.F Lungen­ und Herz­Lungen­Transplantation insgesamt;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.2.2.F Lungentransplantation;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.3 Lebertransplantationen; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;L.3.1.F Lebertransplantation insgesamt;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.3.2.F Lebertransplantation, komplett;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.3.3.F Lebertransplantation, partiell/auxiliär/andere;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.3.4.F Leber­Retransplantation im gleichen Aufenthalt, alle Formen;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.4 Pankreastransplantationen; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;L.4.1.F Transplantation von Pankreas oder ­gewebe insgesamt;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.5 Nierentransplantationen; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;L.5.1.F Nierentransplantation insgesamt;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.5.2.F Nierentransplantation, Lebendspender allogen, syngen;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.5.3.F Nierentransplantation, allogen, Leichenniere;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.5.4.F Nierentransplantation, Autotransplantation und andere;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.5.5.F Kombinierte Transplantation von Niere und Pankreas;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.5.6.F Nieren-Retransplantation während desselben stationären Aufenthaltes;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.6 Transplantation/Transfusionen von Stammzellen; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;L.6.1.F Transplantation oder Transfusion von hämatopoetischen Stammzellen insgesamt;*;*;*;1;*;*;*;0
Merian Iselin Klinik AG;L.6.2.F Transplantation von hämatopoetischen Stammzellen aus Knochenmark insgesamt;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.6.3.F Transplantation von hämatopoetischen Stammzellen aus Knochenmark, autogen;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.6.4.F Transfusion von peripheren hämatopoetischen Stammzellen;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.6.5.F Transfusion von peripheren hämatopoetischen Stammzellen, autogen;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.6.8.F Andere Stammzelltherapien;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.7 Hypertherme Chemotherapie; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;L.7.1.F Hypertherme intraperitoneale Chemotherapie [HIPEC];*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;L.7.2.F Hypertherme intrathorakale Chemotherapie [HITOC];*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;M Palliativmedizin; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;M.1 Palliativmedizin; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;M.1.1.F Palliativmedizinische Komplexbehandlung;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;M.1.2.F Palliativmedizinische Komplexbehandlung durch Palliativ-Dienst (intern und extern);*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;N Roboterassistierte Eingriffe; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;N.1 Roboterassistierte Eingriffe; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;N.1.1.F Roboterchirurgie bei urologischen Index-Eingriffen;*;*;*;270;*;*;*;54
Merian Iselin Klinik AG;Y COVID-19; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;Y.1 COVID-19 - Testen auf Infektion; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;Y.1.1.P Anteil Fälle mit Testung auf COVID-19;5.1%;23.9%;*;949;0.5%;9.6%;*;36
Merian Iselin Klinik AG;Y.1.2.P Anteil Fälle mit Testung auf COVID-19, positiver labordiagnostischer Virusnachweis;8.6%;16.2%;*;82;30.6%;25.5%;*;11
Merian Iselin Klinik AG;Y.2 COVID-19 - Überblick; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;Y.2.1.M COVID-19-Fälle mit klinisch-epidemiologischer Bestätigung, Mortalität;*;*;*;7;*;*;*;0
Merian Iselin Klinik AG;Y.2.1.P Anteil COVID-19-Fälle mit klinisch-epidemiologischer Bestätigung;*;*;*;7;0.0%;0.0%;*;0
Merian Iselin Klinik AG;Y.2.2.M COVID-19-Fälle mit labordiagnostischem Virusnachweis, Mortalität;0.0%;7.7%;0.0;83;0.0%;3.4%;0.0;11
Merian Iselin Klinik AG;Y.2.2.P Anteil COVID-19-Fälle mit labordiagnostischem Virusnachweis;0.4%;3.6%;*;83;0.2%;2.5%;*;11
Merian Iselin Klinik AG;Y.2.3.M COVID-19-Fälle mit labordiagnostischem Virusnachweis, Alter <20, Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;Y.2.4.M COVID-19-Fälle mit labordiagnostischem Virusnachweis, Alter 20-44, Mortalität;*;*;*;9;*;*;*;1
Merian Iselin Klinik AG;Y.2.5.M COVID-19-Fälle mit labordiagnostischem Virusnachweis, Alter 45-64, Mortalität;0.0%;3.2%;0.0;21;*;*;*;5
Merian Iselin Klinik AG;Y.2.6.M COVID-19-Fälle mit labordiagnostischem Virusnachweis, Alter 65-84, Mortalität;0.0%;9.4%;0.0;43;*;*;*;5
Merian Iselin Klinik AG;Y.2.7.M COVID-19-Fälle mit labordiagnostischem Virusnachweis, Alter >84, Mortalität;0.0%;16.0%;0.0;10;*;*;*;0
Merian Iselin Klinik AG;Y.2.8.M COVID-19-Fälle mit schweren akuten Atemwegserkrankungen, Mortalität;0.0%;13.7%;0.0;15;*;*;*;0
Merian Iselin Klinik AG;Y.2.8.P Anteil COVID-19-Fälle mit schweren akuten Atemwegserkrankungen;18.1%;53.6%;*;15;0.0%;33.2%;*;0
Merian Iselin Klinik AG;Y.2.9.M COVID-19-Fälle mit ausgewählten Vorerkrankungen, Mortalität;0.0%;9.1%;0.0;57;*;*;*;5
Merian Iselin Klinik AG;Y.2.9.P Anteil COVID-19-Fälle mit ausgewählten Vorerkrankungen;68.7%;69.6%;*;57;*;*;*;5
Merian Iselin Klinik AG;Y.3 COVID-19 - Intensivstation und Beatmung; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;Y.3.1.M COVID-19-Fälle mit intensivmedizinischer Behandlung, Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;Y.3.1.P Anteil COVID-19-Fälle mit intensivmedizinischer Behandlung;0.0%;12.2%;*;0;0.0%;8.7%;*;0
Merian Iselin Klinik AG;Y.3.2.S Mittlere Verweildauer von COVID-19 Patienten auf Intensivstation (in Stunden);*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;Y.3.3.M COVID-19-Fälle ohne intensivmedizinischer Behandlung, Mortalität;0.0%;5.6%;0.0;83;0.0%;2.0%;0.0;11
Merian Iselin Klinik AG;Y.3.5.M COVID-19-Fälle mit maschineller Beatmung, Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;Y.3.6.S Mittlere Beatmungsdauer bei Patienten mit COVID-19;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;Y.3.7.M COVID-19-Fälle ohne maschinelle Beatmung, Mortalität;0.0%;5.8%;0.0;83;0.0%;2.1%;0.0;11
Merian Iselin Klinik AG;Y.4 COVID-19 - ECMO-Einsatz; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;Y.4.1.M Fälle mit ECMO-Einsatz, Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;Y.4.2.M COVID-19-Fälle mit ECMO-Einsatz, Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;Y.4.3.M COVID-19-Fälle mit ECMO-Einsatz, Direktaufnahmen, Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;Y.4.4.M COVID-19-Fälle mit ECMO-Einsatz, Zuverlegungen, Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;Y.4.5.M Fälle mit ECMO-Einsatz, ohne COVID-19, mit SARI, Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;Y.4.6.M Fälle mit ECMO-Einsatz, ohne COVID-19 oder SARI, Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;Y.5 COVID-19 - Komplikationen; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;Y.5.1.M COVID-19-Fälle mit ARDS (als HD oder ND), Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;Y.5.1.P Anteil COVID-19-Fälle mit ARDS (als HD oder ND);0.0%;6.4%;*;0;0.0%;0.7%;*;0
Merian Iselin Klinik AG;Y.5.2.P Anteil COVID-19-Fälle mit Sepsis (als HD oder ND);0.0%;6.2%;*;0;0.0%;5.0%;*;0
Merian Iselin Klinik AG;Y.5.3.M COVID-19-Fälle ohne schwere akute Atemwegserkrankungen, ARDS oder Sepsis, Mortalität;0.0%;2.8%;0.0;68;0.0%;1.8%;0.0;11
Merian Iselin Klinik AG;Y.5.4.P Anteil COVID-19-Fälle mit maschineller Beatmung ohne schwere akute Atemwegserkrankungen, ARDS oder Sepsis;0.0%;1.6%;*;0;0.0%;1.6%;*;0
Merian Iselin Klinik AG;Y.5.5.M Gefässerkrankungen (KHK, Hirninfarkt, TIA, Herzinfarkt oder Embolie/TVT) bei COVID-19-Fällen mit SARI, Mortalität;*;*;*;5;*;*;*;0
Merian Iselin Klinik AG;Y.5.5.P Anteil Gefässerkrankungen (KHK, Hirninfarkt, TIA, Herzinfarkt oder Embolie/TVT) bei COVID-19-Fällen mit SARI;*;*;*;5;*;*;*;0
Merian Iselin Klinik AG;Y.5.6.M Gefässerkrankungen (KHK, Hirninfarkt, TIA, Herzinfarkt oder Embolie/TVT) mit SARI ohne COVID-19, Mortalität;*;*;*;8;*;*;*;2
Merian Iselin Klinik AG;Y.5.6.P Anteil Gefässerkrankungen (KHK, Hirninfarkt, TIA, Herzinfarkt oder Embolie/TVT) mit SARI ohne COVID-19;*;*;*;8;*;*;*;2
Merian Iselin Klinik AG;Y.6 Post-COVID-19 - Überblick; ; ; ; ; ; ; ; 
Merian Iselin Klinik AG;Y.6.1.M Fälle mit Post-COVID-19-Zustand (U09.9), Mortalität;*;*;*;2;*;*;*;0
Merian Iselin Klinik AG;Y.6.1.P Anteil Fälle mit Post-COVID-19-Zustand (U09.9);*;*;*;2;0.0%;0.1%;*;0
Merian Iselin Klinik AG;Y.6.2.M Fälle mit multisystemischem Entzündungssyndrom in Verbindung mit COVID-19, Alter <22, Mortalität;*;*;*;-;*;*;*;-
Merian Iselin Klinik AG;Y.6.3.M Fälle mit multisystemischem Entzündungssyndrom in Verbindung mit COVID-19, Alter >21, Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;Y.6.4.M Fälle mit multisystemischem Entzündungssyndrom in Verbindung mit COVID-19 mit maschineller Beatmung >24 h, Alter <22, Mortalität;*;*;*;-;*;*;*;-
Merian Iselin Klinik AG;Y.6.5.M Fälle mit multisystemischem Entzündungssyndrom in Verbindung mit COVID-19 mit maschineller Beatmung >24 h, Alter >21, Mortalität;*;*;*;0;*;*;*;0
Merian Iselin Klinik AG;Y.6.6.M Fälle mit COVID-19 in Eigenanamnese (U08.9), Mortalität;*;*;*;3;*;*;*;0
Merian Iselin Klinik AG;Y.6.6.P Anteil Fälle mit COVID-19 in Eigenanamnese (U08.9);*;*;*;3;0.0%;0.2%;*;0
